,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
2122,2,Wakad,1010,6831,2.0,69.0,2021.0,0.0
2123,3,Ravet,1330,5187,3.0,69.0,2025.0,4.0
2124,2,Ravet,930,5483,2.0,51.0,2025.0,4.0
2125,2,Wakad,920,6630,2.0,61.0,2023.0,2.0
2126,2,Tathawade,920,6413,2.0,59.0,2024.0,3.0
2127,2,Wakad,981,5810,2.0,57.0,2016.0,-5.0
2130,2,Bavdhan,1100,9545,2.0,105.0,2011.0,-10.0
2131,2,Bavdhan,1100,7827,2.0,86.1,2013.0,-8.0
2132,2,Bavdhan,1187,7076,2.0,84.0,2010.0,-11.0
2135,3,Manjari,1000,7500,3.0,75.0,2026.0,5.0
2136,2,Manjari,800,6875,2.0,55.0,2026.0,5.0
2137,2,Kharadi,900,13333,2.0,120.0,2016.0,-5.0
2138,3,Kharadi,1100,8363,3.0,92.0,2027.0,6.0
2142,3,Wakad,1365,7765,2.0,106.0,2014.0,-7.0
2143,2,Pashan,1200,10416,2.0,125.0,2016.0,-5.0
2144,3,Bavdhan,1525,8131,3.0,124.0,2026.0,5.0
2145,3,Tathawade,866,8545,3.0,74.0,2024.0,3.0
2151,3,Balewadi,1327,12810,3.0,170.0,2026.0,5.0
2152,3,Balewadi,1325,9886,3.0,131.0,2026.0,5.0
2154,2,Sus,1096,6090,2.0,66.75,2023.0,2.0
2159,2,Ravet,878,5353,2.0,47.0,2026.0,5.0
2162,3,Wanowrie,1150,8695,3.0,100.0,2008.0,-13.0
2163,4,Wanowrie,2300,7826,4.0,180.0,2011.0,-10.0
2164,3,Wanowrie,1500,8666,3.0,130.0,2019.0,-2.0
2165,3,Undri,2100,8095,3.0,170.0,2012.0,-9.0
2166,3,Kondhwa,2800,10535,3.0,295.0,2010.0,-11.0
2167,4,NIBM Annex Mohammadwadi,3000,8333,3.0,250.0,2013.0,-8.0
2170,3,Bavdhan,2160,6944,3.0,150.0,2024.0,3.0
2171,3,Balewadi,1502,8388,3.0,126.0,2026.0,5.0
2172,2,Balewadi,1175,8510,2.0,100.0,2024.0,3.0
2173,2,Balewadi,1139,8340,2.0,95.0,2026.0,5.0
2174,4,Balewadi,2345,11428,4.0,268.0,2026.0,5.0
2175,3,Balewadi,1485,12457,3.0,185.0,2026.0,5.0
2176,2,Balewadi,1125,8000,2.0,90.0,2026.0,5.0
2177,3,Mundhwa,1600,8312,3.0,133.0,2018.0,-3.0
2179,3,Moshi,1600,4531,3.0,72.5,2015.0,-6.0
2180,2,Hadapsar,898,5790,2.0,52.0,2014.0,-7.0
2181,1,Bavdhan,625,7200,1.0,45.0,2012.0,-9.0
2182,2,Balewadi,1233,7542,2.0,93.0,2024.0,3.0
2183,2,Bavdhan,1170,6666,2.0,78.0,2026.0,5.0
2184,3,Baner,1682,6837,3.0,114.99999999999999,2023.0,2.0
2185,1,Moshi,520,5480,1.0,28.5,2014.0,-7.0
2186,5,Kothrud,2300,15173,4.0,349.0,2024.0,3.0
2188,3,Bhugaon,1400,5857,3.0,82.0,2023.0,2.0
2189,3,Bhugaon,1450,6000,3.0,87.0,2023.0,2.0
2191,3,Baner,1438,7997,3.0,114.99999999999999,2026.0,5.0
2192,2,Baner,1150,6956,2.0,80.0,2026.0,5.0
2193,3,Baner,1750,6857,3.0,120.0,2023.0,2.0
2194,4,Kothrud,2200,11409,4.0,250.99999999999997,2023.0,2.0
2198,3,Baner,1490,11409,2.0,170.0,2019.0,-2.0
2199,3,Bavdhan,1400,8928,3.0,125.0,2024.0,3.0
2206,3,Wakad,1417,6069,3.0,86.0,2018.0,-3.0
2207,3,Tathawade,1402,4636,3.0,65.0,2024.0,3.0
2208,3,Tathawade,988,6578,3.0,65.0,2023.0,2.0
2209,3,Tathawade,1290,5271,3.0,68.0,2025.0,4.0
2212,2,Wakad,1053,6172,2.0,65.0,2016.0,-5.0
2213,2,Tathawade,1080,5833,2.0,63.0,2020.0,-1.0
2214,2,Tathawade,1012,5533,2.0,56.0,2020.0,-1.0
2215,2,Ravet,1150,5565,2.0,64.0,2021.0,0.0
2216,2,Ravet,1032,6395,2.0,66.0,2014.0,-7.0
2217,2,Tathawade,1054,5028,2.0,53.0,2018.0,-3.0
2220,1,Wagholi,700,6428,2.0,45.0,2014.0,-7.0
2221,1,Wagholi,700,6571,1.0,46.0,2014.0,-7.0
2222,2,Wagholi,960,4895,2.0,47.0,2018.0,-3.0
2224,2,Baner,1092,7326,2.0,80.0,2011.0,-10.0
2225,2,Wakad,821,10353,2.0,85.0,2027.0,6.0
2226,2,Tathawade,766,10052,2.0,77.0,2025.0,4.0
2228,2,Bhosari,1119,6434,2.0,72.0,2014.0,-7.0
2229,4,Balewadi,2400,8416,4.0,202.0,2026.0,5.0
2231,4,Baner,2500,13480,4.0,337.0,2026.0,5.0
2232,2,Tathawade,986,5725,2.0,56.45,2023.0,2.0
2233,2,Ravet,1108,5397,2.0,59.8,2024.0,3.0
2234,2,Wakad,1061,6149,2.0,65.25,2021.0,0.0
2237,1,Warje,650,8000,1.0,52.0,2008.0,-13.0
2238,1,Moshi,650,4384,1.0,28.5,2017.0,-4.0
2239,2,Wagholi,865,4453,2.0,38.52,2024.0,3.0
2240,2,Wagholi,854,4361,2.0,37.25,2024.0,3.0
2242,2,Wagholi,852,4403,2.0,37.52,2024.0,3.0
2243,2,Wagholi,852,4460,2.0,38.0,2024.0,3.0
2244,2,Wagholi,835,4670,2.0,39.0,2024.0,3.0
2245,1,Chakan,632,3561,1.0,22.51,2016.0,-5.0
2246,2,Kharadi,1151,8253,2.0,95.0,2020.0,-1.0
2247,3,Kharadi,1730,8786,3.0,152.0,2021.0,0.0
